符文名稱,正逆位,關鍵字,解釋語句,心靈指引,行動建議
ᚲ Kenaz（凱納茲）,正位,啟示,當 Kenaz 出現於正位時，代表「啟示」的能量正悄悄地影響你。,一盞光正在你的心中點亮。你將獲得洞見、創意或靈感，照亮原本模糊的方向。,把注意力放在你熱愛的創造或探索上，讓靈光自然引導你前進。
ᚲ Kenaz（凱納茲）,逆位,啟示,當 Kenaz 出現於逆位時，代表「啟示」的能量正悄悄地影響你。,你可能感到靈感枯竭，或心中的火光變得微弱。不要責怪自己，只是暫時的靜默期。,關掉外界的噪音，好好休息、閱讀或整理環境，重新點燃你的內在之火。
ᚷ Gebo（給博）,,禮物,（此符文無正逆位之分）代表「禮物」的能量正悄悄地影響你。,你正處在互惠與連結的流動中。給出與接收的能量正逐漸平衡。,向某人表達感謝，或回應一份善意。與人互動時，保持真誠與界線並存。
ᚹ Wunjo（溫喬）,正位,喜悅,當 Wunjo 出現於正位時，代表「喜悅」的能量正悄悄地影響你。,喜悅的能量正在靠近你，也許是一段關係的和諧、內在的圓滿，或來自生命的小確幸。,擁抱當下，讓快樂自然湧現，不需要理由。與人分享你的好消息或善意微笑吧！
ᚹ Wunjo（溫喬）,逆位,喜悅,當 Wunjo 出現於逆位時，代表「喜悅」的能量正悄悄地影響你。,你可能感到情緒低落，或失去了原本的熱情。這是提醒你照顧心靈的信號。,給自己一點柔軟的陪伴，做些會讓你微笑的小事。不用勉強快樂，只要允許自己慢慢修復。
ᚺ Hagalaz（哈加拉茲）,正位,混亂,當 Hagalaz 出現於正位時，代表「混亂」的能量正悄悄地影響你。,你正處於一場能量轉化的暴風中心。雖然混亂難以掌控，但它帶來的是淨化與重建的契機。,允許自己感受不穩定，暫時放下掌控慾。與其抗拒，不如觀察——混亂過後，你將更清楚自己真正需要什麼。
ᚺ Hagalaz（哈加拉茲）,逆位,混亂,當 Hagalaz 出現於逆位時，代表「混亂」的能量正悄悄地影響你。,混亂不是崩壞，而是清理的前奏。當你無法控制一切時，也許正是改寫命運的時機點。,與其抗拒混亂，不如與它對話。今天允許自己寫下所有的不安與破碎感，然後撕下那張紙，象徵釋放與重建。
ᚾ Nauthiz（瑙西茲）,正位,需求,當 Nauthiz 出現於正位時，代表「需求」的能量正悄悄地影響你。,你正在鍛鍊自己的耐力與意志力，雖然艱辛，但這段歷程正淬鍊你的靈魂。,專注處理當下的限制，不逃避，學習從中獲得力量。
ᚾ Nauthiz（瑙西茲）,逆位,需求,當 Nauthiz 出現於逆位時，代表「需求」的能量正悄悄地影響你。,你可能陷入過度壓抑或否認自身需求的狀態。,停下來聽聽你真正的渴望，接納自己的脆弱是釋放的開始。
ᛁ Isa（伊薩）,,停滯,（此符文無正逆位之分）代表「停滯」的能量正悄悄地影響你。,現在是停下來的時刻。進展雖然緩慢，卻讓你有機會內省與穩定。,不要急於行動。轉而整理內部狀態，等待冰雪融化之時。
ᛃ Jera（耶拉）,,收成,（此符文無正逆位之分）代表「收成」的能量正悄悄地影響你。,你正處於收穫的時刻，過去的努力和投入將帶來豐碩的成果。,現在是結束舊事並向新階段邁進的時刻。計劃一個新開始，讓自己保持開放與積極。
ᛇ Eihwaz（艾瓦茲）,,轉化,（此符文無正逆位之分）代表「轉化」的能量正悄悄地影響你。,你擁有深層的韌性與保護力，內在的力量正在沉穩地守護你。,信任自己的靈性直覺，不需要急於行動，穩定才是你此刻最強的力量。
ᛈ Perthro（佩索）,正位,命運,當 Perthro 出現於正位時，代表「命運」的能量正悄悄地影響你。,命運之骰已擲出，宇宙正在編排一場隱藏的契機，等待你揭曉。,打開內在感知，靜下心接收來自夢境、直覺或巧合的訊息。答案會在時機成熟時浮現。
ᛈ Perthro（佩索）,逆位,命運,當 Perthro 出現於逆位時，代表「命運」的能量正悄悄地影響你。,事情可能出現不可預期的結果。你正處於命運考驗的迴圈中。,不要急著控制未知，放下想要「知道全部」的焦慮，與命運同行是一場信任的修煉。
ᛉ Algiz（艾爾吉茲）,正位,守護,當 Algiz 出現於正位時，代表「守護」的能量正悄悄地影響你。,你正處於保護與護佑的能量場中。這張符文強烈提醒你，當你進入新的階段時，保持警覺，保護自己。,加強對自身的防護，不僅是物理層面，還包括情感與心理上的防線。若有需要，尋求專業協助。
ᛉ Algiz（艾爾吉茲）,逆位,守護,當 Algiz 出現於逆位時，代表「守護」的能量正悄悄地影響你。,你可能感覺到被孤立或缺乏保護。在危機時期，這張符文顯示出你的脆弱性，需要更多的安全感。,尋找並創造一個安全的環境，並讓自己慢慢恢復。這是一個回到自己內心的時刻，與信任的朋友或家人共度。
ᛋ Sowilo（索維羅）,,成功,（此符文無正逆位之分）代表「成功」的能量正悄悄地影響你。,你正處於能量的高峰，光明與清晰的思維正在指引你前行。,自信地邁出下一步，無論是選擇還是決定，都應該依賴你清晰的內心感覺。
ᛏ Tiwaz（提瓦茲）,正位,正義,當 Tiwaz 出現於正位時，代表「正義」的能量正悄悄地影響你。,此刻是展現勇氣、智慧與決心的時候，勇於面對難題，挑戰自我。,相信自己的價值與智慧，踏上新的冒險或挑戰，這將帶來成長與勝利。
ᛏ Tiwaz（提瓦茲）,逆位,正義,當 Tiwaz 出現於逆位時，代表「正義」的能量正悄悄地影響你。,你正在學習什麼是真正的正義──它並不總是表面公平，而是一種內在的誠實與清晰。,想一件你內心覺得『不公平』的事，然後嘗試用另一個角度重新詮釋它。正義有時藏在不說出口的智慧裡。
ᛒ Berkano（貝爾卡諾）,正位,誕生,當 Berkano 出現於正位時，代表「誕生」的能量正悄悄地影響你。,你處於一個成長與重生的過程中。這張符文表示新的開始，內心的力量在重建過去的軌跡。,放手過去，擁抱新生。此時的你有能力創造新的機會與改變，不必懷疑自己的能力。
ᛒ Berkano（貝爾卡諾）,逆位,誕生,當 Berkano 出現於逆位時，代表「誕生」的能量正悄悄地影響你。,重生的過程可能帶來痛苦與掙扎，這時候需要面對過去的傷痛，才能迎接新生。,不需要強迫自己過早放下。給自己時間療癒，並以愛與包容的心態重新接納自己。
ᛖ Ehwaz（艾瓦茲）,正位,變動,當 Ehwaz 出現於正位時，代表「變動」的能量正悄悄地影響你。,你正處於移動期，一股穩定而自然的推力正將你推往嶄新的階段。,今天留意生活中的『同步性』──那些剛好出現的人事物，它們是宇宙告訴你：前進是對的。
ᛖ Ehwaz（艾瓦茲）,逆位,變動,當 Ehwaz 出現於逆位時，代表「變動」的能量正悄悄地影響你。,變動受阻，可能來自你的懷疑、拖延，或還有未完成的情感課題。,今天回顧一次你本該行動卻猶豫的決定，問自己：我是在保護自己，還是逃避蛻變？寫下你的真實感受。
ᛗ Mannaz（曼納茲）,正位,人際,當 Mannaz 出現於正位時，代表「人際」的能量正悄悄地影響你。,你與人之間的能量正在交織，這是一段關於信任、合作與理解的練習。,今天主動對一個重要關係釋出善意──一句誠摯的問候、一次無預期的幫助。你會發現人我之間的力量是雙向流動的。
ᛗ Mannaz（曼納茲）,逆位,人際,當 Mannaz 出現於逆位時，代表「人際」的能量正悄悄地影響你。,你可能感到孤立、誤解，或對他人失望。這不是拒絕，而是提醒你更清楚自己真正的需求。,寫下一段對『過去自己的人際選擇』的信──坦白、溫柔、不帶批評。然後把信封起來，讓未來的你重新閱讀它。
ᛚ Laguz（拉古茲）,正位,直覺,當 Laguz 出現於正位時，代表「直覺」的能量正悄悄地影響你。,你的直覺如同潛流，正在引領你前往未知而神聖的方向。學會相信那份無聲的智慧。,今天不要強求邏輯，試著用感覺選擇衣服、餐點或路線。讓直覺代替大腦一次，看看會發生什麼事。
ᛚ Laguz（拉古茲）,逆位,直覺,當 Laguz 出現於逆位時，代表「直覺」的能量正悄悄地影響你。,你可能過度壓抑情緒，或故意忽視內在聲音。這是一種與自己斷線的狀態，需要重新連線。,準備一杯水，凝視它三分鐘。水象徵你的情感與直覺，請它回到你體內。然後寫下此刻最真實的感覺，不需修飾。
ᛜ Ingwaz（英瓦茲）,,內在力量,你像是一顆種子，已經準備好在內在的土壤裡萌芽。這是一段深層整合與積蓄能量的時刻，為的是邁向下一階段的成長。,留意那些想說卻還沒說的話、想做卻還沒做的事。內在的力量正在累積，它會在對的時機自然綻放。,今天不急著向外擴張，試著與自己好好待著。整理心中的計劃、打掃空間，為即將來到的新開始清出空間。
ᛞ Dagaz（達加茲）,正位,突破,想像你正站在黎明的曙光中，昨日的黑暗正漸漸散去。你已準備好迎接新的自己，並敞開心門擁抱變化。,這是一個突破框架與限制的時刻。舊有的信念正在轉化，你的覺知也在升級。,寫下一個你最近想改變的信念，並挑戰它。嘗試一個全新做法，就算只是微小的，也會是轉變的起點。
ᛟ Othala（歐薩拉）,正位,祖先,祖先的智慧正在你血液中流動，提醒你回到根源。你不是孤立存在，而是歷史長河中的一部分。,記憶、家族、傳承──這些都不是束縛，而是理解自我的線索。透過回顧過往，你能更清楚未來的方向。,今天翻翻舊照片、寫封信給家人，或為祖先點一盞燈。這些連結將成為你穩固的根與支撐的力量。
ᛟ Othala（歐薩拉）,逆位,祖先,你可能正與自己的家族認同、文化根源產生衝突，或是無法從過去的記憶中釋放。,斷裂與迷失感不是終點，它們反而讓你有機會重新定義自己的歸屬與價值。,今天練習和「家」這個字連結，想像一個你理想中的內在歸屬地，並在生活中種下它的一顆種子。
